url,title,cluster,page_length_chars,num_sections,num_references,num_categories,num_images,num_infobox_rows
https://en.wikipedia.org/wiki/In-context_learning_(natural_language_processing),In-context learning (natural language processing),0,34037.0,19.0,69.0,7.0,27.0,0.0
https://en.wikipedia.org/wiki/Inauthentic_text,Inauthentic text,0,2556.0,2.0,0.0,6.0,3.0,0.0
https://en.wikipedia.org/wiki/Inception_score,Inception score,0,4214.0,3.0,3.0,2.0,45.0,0.0
https://en.wikipedia.org/wiki/Inductive_bias,Inductive bias,0,5168.0,4.0,5.0,2.0,2.0,0.0
https://en.wikipedia.org/wiki/Inductive_probability,Inductive probability,0,32542.0,31.0,17.0,5.0,137.0,0.0
https://en.wikipedia.org/wiki/Inductive_programming,Inductive programming,0,17804.0,7.0,35.0,2.0,0.0,0.0
https://en.wikipedia.org/wiki/Inferential_theory_of_learning,Inferential theory of learning,0,3048.0,3.0,4.0,5.0,3.0,0.0
https://en.wikipedia.org/wiki/Instance_selection,Instance selection,0,6106.0,2.0,11.0,2.0,1.0,0.0
https://en.wikipedia.org/wiki/Instance-based_learning,Instance-based learning,0,2060.0,2.0,4.0,2.0,1.0,0.0
https://en.wikipedia.org/wiki/Intelligent_automation,Intelligent automation,0,7881.0,6.0,18.0,6.0,1.0,0.0
https://en.wikipedia.org/wiki/Isotropic_position,Isotropic position,0,1182.0,3.0,0.0,4.0,15.0,0.0
https://en.wikipedia.org/wiki/JAX_(software),JAX (software),0,3520.0,4.0,9.0,2.0,1.0,0.0
https://en.wikipedia.org/wiki/Journal_of_Machine_Learning_Research,Journal of Machine Learning Research,0,2892.0,4.0,3.0,4.0,1.0,17.0
https://en.wikipedia.org/wiki/Kernel_density_estimation,Kernel density estimation,0,25938.0,11.0,41.0,3.0,49.0,0.0
https://en.wikipedia.org/wiki/Kernel_embedding_of_distributions,Kernel embedding of distributions,0,32884.0,27.0,26.0,2.0,333.0,0.0
https://en.wikipedia.org/wiki/Knowledge_graph_embedding,Knowledge graph embedding,0,40185.0,19.0,44.0,4.0,89.0,0.0
https://en.wikipedia.org/wiki/Knowledge_integration,Knowledge integration,0,3867.0,3.0,0.0,3.0,0.0,0.0
https://en.wikipedia.org/wiki/Kolmogorov-Arnold_Networks,Kolmogorov-Arnold Networks,0,13894.0,8.0,37.0,3.0,33.0,0.0
https://en.wikipedia.org/wiki/Labeled_data,Labeled data,0,6398.0,8.0,8.0,1.0,4.0,0.0
https://en.wikipedia.org/wiki/Lazy_learning,Lazy learning,0,7340.0,5.0,7.0,1.0,0.0,0.0
https://en.wikipedia.org/wiki/Leakage_(machine_learning),Leakage (machine learning),0,7630.0,6.0,11.0,2.0,0.0,0.0
https://en.wikipedia.org/wiki/Learnable_function,Learnable function,0,9612.0,13.0,9.0,4.0,34.0,0.0
https://en.wikipedia.org/wiki/Learnable_function_class,Learnable function class,0,5932.0,7.0,5.0,1.0,66.0,0.0
https://en.wikipedia.org/wiki/Learning_automaton,Learning automaton,0,5043.0,6.0,5.0,2.0,0.0,0.0
https://en.wikipedia.org/wiki/Learning_curve_(machine_learning),Learning curve (machine learning),0,4311.0,5.0,7.0,2.0,15.0,0.0
https://en.wikipedia.org/wiki/Learning_rate,Learning rate,0,7028.0,6.0,10.0,3.0,14.0,0.0
https://en.wikipedia.org/wiki/Learning_to_rank,Learning to rank,0,34527.0,16.0,65.0,3.0,19.0,0.0
https://en.wikipedia.org/wiki/Life-time_of_correlation,Life-time of correlation,0,1713.0,2.0,1.0,4.0,3.0,0.0
https://en.wikipedia.org/wiki/Linear_predictor_function,Linear predictor function,0,9889.0,7.0,7.0,2.0,29.0,0.0
https://en.wikipedia.org/wiki/Linear_separability,Linear separability,0,7925.0,8.0,9.0,3.0,67.0,0.0
https://en.wikipedia.org/wiki/LLM-as-a-Judge,LLM-as-a-Judge,0,24264.0,17.0,24.0,3.0,2.0,0.0
https://en.wikipedia.org/wiki/Local_case-control_sampling,Local case-control sampling,0,4223.0,6.0,1.0,2.0,28.0,0.0
https://en.wikipedia.org/wiki/Lottery_ticket_hypothesis,Lottery ticket hypothesis,0,3414.0,3.0,3.0,3.0,13.0,0.0
https://en.wikipedia.org/wiki/Lyra_(codec),Lyra (codec),0,7803.0,9.0,7.0,6.0,2.0,8.0
https://en.wikipedia.org/wiki/M-theory_(learning_framework),M-theory (learning framework),0,22649.0,14.0,16.0,3.0,85.0,0.0
https://en.wikipedia.org/wiki/Machine_Learning_(journal),Machine Learning (journal),0,4806.0,3.0,8.0,7.0,5.0,13.0
https://en.wikipedia.org/wiki/Machine_Learning_and_Knowledge_Extraction,Machine Learning and Knowledge Extraction,0,1834.0,3.0,5.0,7.0,1.0,16.0
https://en.wikipedia.org/wiki/Machine_learning_control,Machine learning control,0,6345.0,6.0,12.0,3.0,10.0,0.0
https://en.wikipedia.org/wiki/Machine_learning_in_bioinformatics,Machine learning in bioinformatics,1,62262.0,25.0,97.0,2.0,39.0,0.0
https://en.wikipedia.org/wiki/Machine_learning_in_earth_sciences,Machine learning in earth sciences,0,40706.0,16.0,49.0,2.0,5.0,0.0
https://en.wikipedia.org/wiki/Machine_learning_in_physics,Machine learning in physics,0,17449.0,9.0,43.0,4.0,5.0,0.0
https://en.wikipedia.org/wiki/Machine_learning_in_video_games,Machine learning in video games,0,28760.0,30.0,39.0,2.0,2.0,0.0
https://en.wikipedia.org/wiki/Machine_unlearning,Machine unlearning,0,4904.0,4.0,4.0,2.0,2.0,0.0
